NAMED_LOCATION,PUBLIC_IP,WHOIS_OWNER,CVS_OWNER_FIELD,IN_USE,STATUS,CATEGORY,PUB_PRIV,IPAM_MATCH_TYPE,CANONICAL_LOCATION,CITY,STATE,ROUTING_DOMAIN,HERITAGE,APM_IDS,APP_ACRONYMS,PCI_DESIGNATION,EXT_ASN_ORG,EXT_PROVIDER_CATEGORY,EXT_GEO_COUNTRY,EXT_CVS_OWNED_FLAG,EXT_RISK_SCORE,EXT_IS_THREAT,EXT_IS_TOR,EXT_RISK_SIGNALS,NOTES,FW_DIRECTION,FW_RULE_STATUS,FW_RULE_ACTION,FW_PLATFORM,FW_TYPE,FW_RULE_NAMES,FW_COUNT,RULE_COUNT,CHANGE_REF,FW_POLICY_ALIGNMENT,GOVERNANCE_GAP,SECURITY_CONTEXT,SERVICE_PORT,FW_OBJECT_NAME,INTERNAL_EGRESS_FIREWALL,INTERNAL_EGRESS_CONFIDENCE,INTERNAL_APP,FIRST_SEEN
OSH Office and Clinic Locations,24.182.217.226/32,Charter,,,,EXTERNAL / THIRD-PARTY,PUBLIC (external),,,,,,,,,,COMCAST-7922,Unknown,United States of America,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: COMCAST-7922; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
OSH Office and Clinic Locations,24.197.90.94/32,Charter,,,,EXTERNAL / THIRD-PARTY,PUBLIC (external),,,,,,,,,,COMCAST-7922,Unknown,United States of America,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: COMCAST-7922; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
OSH Office and Clinic Locations,24.199.169.198/32,Charter,,,,EXTERNAL / THIRD-PARTY,PUBLIC (external),,,,,,,,,,COMCAST-7922,Unknown,United States of America,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: COMCAST-7922; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
OSH Office and Clinic Locations,24.227.250.234/32,Charter,,,,EXTERNAL / THIRD-PARTY,PUBLIC (external),,,,,,,,,,COMCAST-7922,Unknown,United States of America,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: COMCAST-7922; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
OSH Office and Clinic Locations,24.229.250.204/32,PenTeleData Inc,,,,EXTERNAL / THIRD-PARTY,PUBLIC (external),,,,,,,,,,COMCAST-7922,Unknown,United States of America,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: COMCAST-7922; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
OSH Office and Clinic Locations,24.229.97.40/32,PenTeleData Inc,,,,EXTERNAL / THIRD-PARTY,PUBLIC (external),,,,,,,,,,COMCAST-7922,Unknown,United States of America,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: COMCAST-7922; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
OSH Office and Clinic Locations,24.249.100.248/32,Cox,,,,EXTERNAL / THIRD-PARTY,PUBLIC (external),,,,,,,,,,COMCAST-7922,Unknown,United States of America,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: COMCAST-7922; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
OSH Office and Clinic Locations,24.249.185.200/32,Cox,,,,EXTERNAL / THIRD-PARTY,PUBLIC (external),,,,,,,,,,COMCAST-7922,Unknown,United States of America,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: COMCAST-7922; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
OSH Office and Clinic Locations,24.250.108.101/32,Cox,,,,EXTERNAL / THIRD-PARTY,PUBLIC (external),,,,,,,,,,ASN-CXA-ALL-CCI-22773-RDC,Unknown,United States of America,N,30,N,N,broad_source|multi_fw_exposure|no_change_ref|no_internal_app,,Inbound,Active,allow|permit,MID-FMC-PROD-1,FMC|FTD,"268445744,268500004,Tufin#12914",5,5,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: ASN-CXA-ALL-CCI-22773-RDC; category: Unknown; risk score: 30; signals: broad_source|multi_fw_exposure|no_change_ref|no_internal_app,",HTTPS",,,,,20260821
OSH Office and Clinic Locations,24.97.202.250/32,Charter,,,,EXTERNAL / THIRD-PARTY,PUBLIC (external),,,,,,,,,,COMCAST-7922,Unknown,United States of America,N,20,N,N,broad_source|no_change_ref|no_internal_app,,Inbound,Active,allow,PAZSHDC-SEC-INT-PRD-MGT-01,FMC,"acl_outside_#124,acl_outside_#130,acl_outside_#135",1,3,,ALIGNED - active FW rule permits this range,YES - no CHANGE_REF (ungoverned rule),origin: United States of America; ASN: COMCAST-7922; category: Unknown; risk score: 20; signals: broad_source|no_change_ref|no_internal_app,",FTP_ANY_SVC_Grp,sFTP_ANY_SVC_Grp",,,,,20260821
